tweet_id,time_created,url,username,tweet,like_count,reply_count,quote_count,retweet_count
1954775579955450164,2025-08-11 05:23:10+00:00,https://x.com/KATADATAcoid/status/1954775579955450164,KATADATAcoid,Siapa Pembuat Film Animasi Merah Putih: One For All? https://t.co/e0tG2yr4ge,0,0,0,0
1954774712581861429,2025-08-11 05:19:44+00:00,https://x.com/monyetguru/status/1954774712581861429,monyetguru,ga sabar buat ga nonton Merah Putih One For All 🤗 https://t.co/kq7n9zWUdT,31,5,0,4
1954773999642362108,2025-08-11 05:16:54+00:00,https://x.com/MRizkiRmdhn/status/1954773999642362108,MRizkiRmdhn,@mrizkyy46 Kimetsu apa merah putih one for all?,0,1,0,0
1954773925176729944,2025-08-11 05:16:36+00:00,https://x.com/abang2anormawa/status/1954773925176729944,abang2anormawa,Film Merah Putih One For All kenapa ya? Aku ga ngikutin nich,0,0,0,0
1954773751964520835,2025-08-11 05:15:55+00:00,https://x.com/CNNIndonesia/status/1954773751964520835,CNNIndonesia,"Kreator Merah Putih: One for All Jawab Isu Biaya Produksi Rp6,7 M https://t.co/V3DMmiKJhx",10,6,3,2
1954773748403625998,2025-08-11 05:15:54+00:00,https://x.com/CNNIndonesia/status/1954773748403625998,CNNIndonesia,"VIDEO: Film Animasi ""Merah Putih: One For All"" Dikritik Warganet https://t.co/jTMdZ4Nmf4",4,3,2,3
1954772598413513083,2025-08-11 05:11:20+00:00,https://x.com/cuantanpariba/status/1954772598413513083,cuantanpariba,"@IndoPopBase MERAH PUTIH ONE FOR ALL. Tayang : 14 Agustus 2025
Jangan lupa nonton ya... 🤑",0,0,0,0
1954771999664091215,2025-08-11 05:08:57+00:00,https://x.com/abibmohamed/status/1954771999664091215,abibmohamed,"Daritadi ngerasa ada yg kurang apa gitu,
Ternyata belum nonton trailer Merah Putih One For All hari ini",0,0,0,0
1954771484364431486,2025-08-11 05:06:54+00:00,https://x.com/alineadotid/status/1954771484364431486,alineadotid,"Film animasi Merah Putih: One For All jadi sorotan warganet. Bukan cuma soal kualitas visual, tapi juga dugaan penggunaan aset digital siap pakai dalam produksinya.

#MerahPutihOneForAll #FilmAnimasi #AnimasiIndonesia https://t.co/IvJOEUUYGm",0,10,0,0
1954771156130832494,2025-08-11 05:05:36+00:00,https://x.com/OknumKonoha/status/1954771156130832494,OknumKonoha,"sosok di balik merah putih one for all dengan biaya 6,7 Milyar #merahputihoneforall #hutri #kemerdekaanindonesia #hutri80 https://t.co/XPgTnLwUlS",0,0,0,0
